time,X,Y,theta_rad,V,steerFL_deg,steerFR_deg,motorFL,motorFR,motorRL,motorRR,brakeFL,brakeFR,brakeRL,brakeRR,plannerNodes,hasSolution,execCompleted,lateralError,headingError
1.940,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,964,0,0,0.000,0.000
1.960,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,979,0,0,0.000,0.000
1.980,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,997,0,0,0.000,0.000
2.000,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,997,0,0,0.000,0.000
2.020,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1014,0,0,0.000,0.000
2.040,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1029,0,0,0.000,0.000
2.060,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1049,0,0,0.000,0.000
2.080,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1049,0,0,0.000,0.000
2.100,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1067,0,0,0.000,0.000
2.120,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1067,0,0,0.000,0.000
2.140,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1085,0,0,0.000,0.000
2.160,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1104,0,0,0.000,0.000
2.180,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1104,0,0,0.000,0.000
2.200,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1118,0,0,0.000,0.000
2.220,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1138,0,0,0.000,0.000
2.240,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1138,0,0,0.000,0.000
2.260,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1157,0,0,0.000,0.000
2.280,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1176,0,0,0.000,0.000
2.300,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1176,0,0,0.000,0.000
2.320,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1196,0,0,0.000,0.000
2.340,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1215,0,0,0.000,0.000
2.360,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1215,0,0,0.000,0.000
2.380,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1233,0,0,0.000,0.000
2.400,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1233,0,0,0.000,0.000
2.420,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1249,0,0,0.000,0.000
2.440,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1271,0,0,0.000,0.000
2.460,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1271,0,0,0.000,0.000
2.480,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1291,0,0,0.000,0.000
2.500,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1291,0,0,0.000,0.000
2.520,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1308,0,0,0.000,0.000
2.540,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1327,0,0,0.000,0.000
2.560,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1327,0,0,0.000,0.000
2.580,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1351,0,0,0.000,0.000
2.600,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1351,0,0,0.000,0.000
2.620,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1364,0,0,0.000,0.000
2.640,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1375,0,0,0.000,0.000
2.660,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1395,0,0,0.000,0.000
2.680,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1395,0,0,0.000,0.000
2.700,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1412,0,0,0.000,0.000
2.720,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1432,0,0,0.000,0.000
2.740,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1432,0,0,0.000,0.000
2.760,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1450,0,0,0.000,0.000
2.780,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1467,0,0,0.000,0.000
2.800,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1490,0,0,0.000,0.000
2.820,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1490,0,0,0.000,0.000
2.840,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1511,0,0,0.000,0.000
2.860,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1511,0,0,0.000,0.000
2.880,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1531,0,0,0.000,0.000
2.900,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1551,0,0,0.000,0.000
